ImageID,Vy
211,343.28224182128906
212,431.0906982421875
213,449.8919677734375
214,486.00013732910156
215,559.0779876708984
216,601.845703125
217,647.677001953125
218,702.1719360351562
219,743.818359375
224,272.8926086425781
227,-883.1474304199219
230,-744.5686340332031
231,-692.8928375244141
232,-650.8390045166016
233,-585.5985260009766
234,-546.1294555664062
235,-489.5947265625
236,-438.5636901855469
237,-384.14085388183594
238,-333.8257598876953
239,-321.12464904785156
240,-243.78936767578125
241,-185.38890838623047
242,-180.018310546875
243,-69.23160552978516
244,-64.37152862548828
245,-9.403610229492188
246,30.62896728515625
247,98.38027954101562
248,119.16309356689453
249,157.40283966064453
252,325.4819869995117
253,330.5797576904297
254,417.7001953125
257,518.4409332275391
258,576.9371795654297
259,636.0127258300781
276,-611.1341857910156
277,-544.5437622070312
278,-511.1602020263672
279,-447.3516082763672
282,-326.729736328125
283,-240.01819610595703
284,-225.73482513427734
285,-171.37516021728516
286,-128.2229232788086
287,-47.11841583251953
288,-30.224075317382812
289,36.00677490234375
290,119.04098510742188
291,161.69082641601562
292,208.88614654541016
293,223.6600112915039
294,300.47950744628906
295,327.97428131103516
296,386.2122344970703
297,439.6403503417969
300,578.6123657226562
301,625.8487701416016
302,641.0494995117188
309,990.8793640136719
310,356.82403564453125
311,-1045.23193359375
318,-622.5004577636719
319,-573.3235931396484
320,-523.406982421875
321,-463.44932556152344
322,-404.5905303955078
323,-375.435791015625
324,-290.9074401855469
325,-291.64695739746094
326,-230.7176971435547
327,-192.69195556640625
328,-109.3414306640625
329,-109.52339172363281
330,-17.3583984375
331,11.045150756835938
332,25.594482421875
333,96.04728698730469
334,137.23892211914062
337,273.49342346191406
340,421.5138244628906
341,461.85218811035156
342,496.44264221191406
343,553.5992431640625
360,-539.1654968261719
361,-500.4707336425781
362,-435.618896484375
363,-402.1057891845703
371,-20.94085693359375
372,17.720947265625
376,224.81277465820312
377,233.25462341308594
380,399.12025451660156
381,434.6978759765625
382,481.87843322753906
383,526.5280151367188
391,918.8722229003906
394,-1008.8113403320312
400,-709.0070343017578
401,-633.9882659912109
402,-616.4854431152344
403,-584.0350341796875
404,-474.54689025878906
405,-478.8423156738281
406,-445.6039810180664
407,-363.5504150390625
408,-336.0348129272461
409,-278.72406005859375
410,-236.75537109375
411,-190.30620574951172
412,-132.87242889404297
413,-115.79784393310547
414,-33.88978958129883
415,6.503047943115234
416,47.400970458984375
417,93.14048767089844
418,148.3465576171875
419,218.79901885986328
420,259.82791900634766
421,314.60941314697266
422,332.2017288208008
423,410.9374237060547
424,457.2631072998047
425,537.9540252685547
428,678.9463806152344
436,-1074.9861145019531
443,-701.6860198974609
444,-633.7504577636719
445,-587.1631622314453
446,-517.2880554199219
447,-470.0071334838867
448,-414.4325637817383
449,-353.26194763183594
450,-310.6300735473633
451,-244.42691802978516
452,-191.34143829345703
453,-165.9917449951172
454,-79.95391845703125
455,-58.01971435546875
456,4.7838592529296875
457,59.48387145996094
458,84.40315246582031
459,140.7373809814453
460,209.15313720703125
461,236.5532684326172
462,281.44237518310547
469,618.9658355712891
470,646.4048767089844
471,704.6042633056641
476,942.9029846191406
477,940.4296875
478,1056.9497680664062
479,67.49221801757812
480,-1127.6948547363281
486,-784.4197082519531
487,-729.4505310058594
488,-689.0370941162109
489,-608.6164855957031
490,-585.3584289550781
491,-569.9853515625
492,-474.3210983276367
493,-454.0269470214844
494,-401.7835235595703
498,-200.73137283325195
499,-165.5551528930664
500,-83.16518783569336
501,-50.52783966064453
502,8.2928466796875
503,58.47078323364258
506,235.5018424987793
507,271.3105773925781
508,350.9962463378906
509,373.9313507080078
510,464.82364654541016
511,522.0839309692383
512,611.4422607421875
515,751.7202758789062
520,1189.9461364746094
521,1267.2724914550781
522,-1056.0690307617188
523,-1233.2881164550781
527,-941.3978576660156
528,-864.8439788818359
529,-770.8312225341797
530,-740.0294494628906
531,-611.8267822265625
532,-573.3877944946289
533,-483.03646087646484
534,-435.6863594055176
537,-240.6536865234375
538,-207.15828895568848
542,-10.77791690826416
543,53.17415714263916
544,105.2222728729248
545,142.29008674621582
546,190.59428215026855
547,237.28022575378418
550,368.35819244384766
551,446.2522888183594
552,450.28942108154297
553,520.6118774414062
554,525.0386810302734
555,605.5410003662109
556,638.0085754394531
559,737.2315979003906
560,798.9802551269531
571,162.69561767578125
572,160.5816650390625
